Country Name;Country Code;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
Brunei Darussalam;BRN;6001153306;5601090584;5843329108;6557333085;7872333215;9531402848;11470703002;12247694247;14393099069;10732366286;13707370737;18525319978;19047940301;18093829923;17098342541;12930394938;11400854268;12128104859;13567351175;13469422959;12005825770;14006569576;
Indonesia;IDN;1.65021E+11;1.60447E+11;1.95661E+11;2.34772E+11;2.56837E+11;2.85869E+11;3.64571E+11;4.32217E+11;5.10229E+11;5.3958E+11;7.55094E+11;8.92969E+11;9.1787E+11;9.12524E+11;8.90815E+11;8.60854E+11;9.31877E+11;1.01562E+12;1.04227E+12;1.1191E+12;1.05869E+12;1.18609E+12;
Cambodia;KHM;3654031716;3984000517;4284028483;4658246918;5337833248;6293046162;7274595707;8639235842;10351914093;10401851851;11242275199;12829541141;14054443213;15227991395;16702610842;18049954289;20016747754;22177200512;24571753583;27089389787;25872798012;26961061120;
Lao PDR;LAO;1731198022;1768619058;1758176653;2023324407;2366398120;2735558726;3455031448;4223152219;5446434032;5836138127;7131773633;8750107402;10192848926;11983252611;13279248479;14426381187;15912495369;17071162084;18141651381;18740559554;18981800705;18827148530;
Myanmar;MMR;6849321646;6220270632;6110632858;7754647428;9390855298;10588433069;11863016315;15591182545;23013015832;29455165595;37796052939;54118601975;58318677645;60572257122;63264892768;63045305229;60291736894;61449392056;67144725831;68697759361;78930257227;65067808985;
Malaysia;MYS;93789736842;92783947368;1.00846E+11;1.10202E+11;1.24749E+11;1.43534E+11;1.62691E+11;1.93548E+11;2.30814E+11;2.02258E+11;2.55017E+11;2.97952E+11;3.14443E+11;3.23277E+11;3.38062E+11;3.01355E+11;3.01255E+11;3.19112E+11;3.58792E+11;3.65276E+11;3.37006E+11;3.72701E+11;
Philippines;PHL;83669693589;78921234458;84307291974;87039145965;95002028505;1.0742E+11;1.27653E+11;1.5598E+11;1.81625E+11;1.75975E+11;2.08369E+11;2.34217E+11;2.61921E+11;2.83903E+11;2.97483E+11;3.06446E+11;3.18627E+11;3.28481E+11;3.46842E+11;3.76823E+11;3.61751E+11;3.94086E+11;
Singapore;SGP;96074477958;89794943350;92537752709;97645448284;1.15035E+11;1.27808E+11;1.4863E+11;1.80942E+11;1.93612E+11;1.94152E+11;2.39809E+11;2.79351E+11;2.95087E+11;3.07576E+11;3.14851E+11;3.08004E+11;3.18832E+11;3.43193E+11;3.76998E+11;3.75473E+11;3.45296E+11;3.96987E+11;
Thailand;THA;1.26392E+11;1.20296E+11;1.34301E+11;1.52281E+11;1.72896E+11;1.89319E+11;2.21758E+11;2.62942E+11;2.91383E+11;2.8171E+11;3.41105E+11;3.70819E+11;3.97558E+11;4.20333E+11;4.07339E+11;4.01296E+11;4.13366E+11;4.56357E+11;5.06755E+11;5.44081E+11;4.99682E+11;5.05982E+11;
Vietnam;VNM;31172518403;32685198735;35064105501;39552513316;45427854693;57633255618;66371664817;77414425532;99130304099;1.06015E+11;1.47199E+11;1.72596E+11;1.95592E+11;2.13711E+11;2.3345E+11;2.39257E+11;2.57096E+11;2.81353E+11;3.08702E+11;3.30391E+11;3.43243E+11;3.62638E+11;
